#{"t_start": 1638535898.2398107, "env_id": "GymEnv-v0"}
r,l,t
1.0,1,0.250748
1.0,1,0.265405
0.370588,4,0.300602
-0.094118,6,0.35264
1.0,1,0.367167
1.0,1,0.381734
1.0,1,0.397177
-0.35,4,0.437408
1.0,1,0.451679
0.0,1,0.46527
0.0,1,0.479448
-0.05,1,0.493287
0.0,1,0.506735
0.000331,1,0.520384
-0.05,1,0.533815
0.0,1,0.547571
1.0,1,0.560926
0.000335,1,0.574702
0.0,1,0.58804
0.000331,1,0.602369
0.95,1,0.615932
0.0,1,0.629638
0.0,1,0.642997
1.0,1,0.656204
0.0,1,0.669428
0.0,1,0.682616
1.0,1,0.695923
1.0,1,0.709174
0.0,1,0.722496
0.0,1,0.735781
0.0,1,0.749144
0.0,1,0.762493
1.0,1,0.775743
1.0,1,0.788913
0.0,1,0.802104
0.0,1,0.815302
0.0,1,0.828447
1.0,1,0.841676
0.0,1,0.855048
0.0,1,0.868235
1.0,1,0.881533
0.0,1,0.894864
0.0,1,0.908049
1.0,1,0.92116
0.0,1,0.934311
0.0,1,0.947623
1.0,1,0.961029
0.000331,1,0.974396
0.0,1,0.987781
1.0,1,1.001315
1.0,1,1.014703
1.0,1,1.027982
1.0,1,1.041184
-0.05,1,1.054456
1.0,1,1.067866
0.0,1,1.08181
-0.05,1,1.095774
0.0,1,1.109182
0.000331,1,1.122555
0.0,1,1.135711
0.0,1,1.149404
0.0,1,1.162772
0.0,1,1.17602
1.0,1,1.189415
0.000331,1,1.203046
0.95,1,1.217724
0.0,1,1.231188
1.0,1,1.244501
1.0,1,1.258473
1.0,1,1.272594
0.000331,1,1.28591
0.0,1,1.29948
0.0,1,1.313212
0.0,1,1.326708
1.0,1,1.340138
0.95,1,1.354496
-0.05,1,1.368601
1.0,1,1.38218
0.0,1,1.395588
1.0,1,1.409511
1.0,1,1.423475
0.0,1,1.438147
0.0,1,1.451735
0.000335,1,1.46649
0.000335,1,1.480436
-0.049674,1,1.494155
0.0,1,1.508455
0.0,1,1.522315
1.0,1,1.535642
0.0,1,1.54998
0.000331,1,1.565275
0.0,1,1.579034
1.0,1,1.592481
0.0,1,1.605818
0.0,1,1.618979
0.0,1,1.632033
-0.05,1,1.645021
1.0,1,1.658407
0.0,1,1.671543
0.0,1,1.684801
